	pid	ptlon	ptlat	tfl	insl	insw	x_rti	az	lort	llon1	llat1	stcr_l	rlon1	rlat1	stcr_r	llon2	llat2	rlon2	rlat2	vhalf	obsaz	predaz_morvel	predaz_tf	sigc	bias
Bagration 	15.0	-13.8	-16.3	128.4	105	3	56	77	2	-14.310	-16.420	2	346.860	-16.147	1	-14.05	-17.86	-13.67	-14.13	16.1	13	12.21	12.23	0.94	-0.30
RioGrande 	15.0	-13.74	-25.66	38.7	25	5	18.9	72	2	-13.920	-25.710	2	346.447	-25.610	1	-13.85	-24.96	-13.11	-28.25	16.4	18	12.05	12.05	6.53	-0.88
UNNa1	15.0	-12.89	-28.22	52	25	3	34.8	74	1	346.767	-28.308	2	347.282	-28.181	2	-13.92	-25.71	-12.52	-28.77	16.4	16	12.43	12.44	3.95	0.30
UNNa2	15.0	-12.8	-28.88	61.1	45	6	30	76	2	346.904	-28.939	1	347.515	-28.812	2	-13.13	-29.11	-12.71	-28.14	16.4	14	12.47	12.48	4.38	-0.11
UNNa3	15.0	-13.42	-29.2	70.9	65	10	34.2	78	2	346.234	-29.258	1	346.948	-29.125	1	-13.69	-29.71	-13.17	-28.93	16.4	12	12.2	12.21	5.05	-0.16
Cox 	15.0	-13.92	-32.26	91.1	50	5	32.1	80	2	-14.260	-32.320	1	346.693	-32.174	1	-14.36	-33.45	-13.53	-30.66	16.3	10	12.02	12.02	3.30	-0.37
Meteor 	15.0	-14.81	-34.16	68	50	4	37.6	79.5	2	-15.210	-34.230	1	345.516	-34.115	1	-15.03	-34.62	-14.6	-33.6	16.3	10.5	11.65	11.65	2.64	-0.18
UNNb1	15.0	-15.72	-35.28	245.3	85	10	194.6	78	2	-17.820	-35.650	1	344.826	-35.185	1	-17	-38.53	-15.26	-34.8	16.2	12	11.26	11.25	3.87	-0.14
UNNb2	15.0	-12.2	-47.32	214.8	150	15	84.9	73	1	346.720	-47.541	1	349.436	-46.962	1	-13.66	-46.18	350.1342773	-49.30220301	15.4	17	13.6	13.59	3.30	0.24
UNNb3	15.0	-9.11	-49.12	111.9	90	15	58.5	70	1	350.134	-49.302	1	351.584	-48.966	1	349.4355469	-46.9622603	-7.77	-50.13	15.1	20	15.29	15.29	5.46	0.44
